Name,State,Funding,Apps,Accepted,Enrolled,Top10,FTUG,Tuition,RmBrd,PhD,SFRatio,Alumni,Spending,Gradrate,StdScore
Southwestern College,KS,Private,213,155,75,28,504,7200,3532,56,11.8,12,7818,52,-0.434299249
Sterling College,KS,Private,479,373,127,20,631,8280,3260,50,16.1,29,10049,36,-0.529010816
Tabor College,KS,Private,257,183,109,19,396,7850,3410,55,10,15,7233,53,-0.046687169
University of Kansas,KS,Public,8579,5561,3681,25,17880,6994,3384,88,13.7,17,9657,57,0.340924911
Wichita State University,KS,Public,2901,2236,896,,6550,6994,3299,82,20.4,17,5950,32,-0.434299249
MidAmerica Nazarene College,KS,Private,331,331,225,15,1100,6840,3720,33,15.4,20,5524,49,-0.046687169
Bellarmine College,KY,Private,807,707,308,39,1198,8840,2950,74,13.1,31,6668,84,0.25551768
Berea College,KY,Private,1836,599,455,35,1540,,2835,77,13.2,34,11719,57,0.021251198
Spalding University,KY,Private,283,201,97,10,589,8400,2800,50,10.6,40,6860,89,-0.821911329
Centre College,KY,Private,1013,888,288,55,943,11850,4270,95,11.4,60,13118,74,1.516267146
Cumberland College,KY,Private,995,789,398,26,1306,6230,3526,42,13,4,8189,63,-0.532652778
Eastern Kentucky University,KY,Public,5443,5135,2445,,11208,4700,3196,82,19.8,,5394,39,-1.209523409
Georgetown College,KY,Private,727,693,286,30,1063,8100,3950,73,13.3,28,7508,55,-0.046687169
Kentucky Wesleyan College,KY,Private,584,497,175,20,662,8000,4150,57,11.3,32,7058,62,-0.460228064
Morehead State University,KY,Public,2825,2495,1300,,6311,4740,2950,58,19.9,8,5175,52,-0.821911329
Murray State University,KY,Public,2225,1910,1190,29,5968,4738,3110,72,20.2,27,5972,52,-0.046687169
Transylvania University,KY,Private,759,729,244,57,867,10900,4450,81,12.1,41,10219,70,1.269862532
Union College,KY,Private,484,384,177,9,634,7800,2950,60,14.1,9,6864,64,-0.969221471
University of Kentucky,KY,Public,7769,5689,2675,,14931,6640,3226,95,12.2,12,11098,52,1.11614907
University of Louisville,KY,Public,4777,3057,1823,16,9844,6540,3600,84,11.1,24,10207,31,-0.434299249
Thomas More College,KY,Private,808,594,218,,756,9490,3892,65,10.5,18,7678,66,0.154366575
Centenary College of Louisiana,LA,Private,495,434,210,35,775,8950,3490,86,11.3,25,9685,66,0.9303989
Dillard University,LA,Private,1998,1376,651,41,1539,6700,3650,52,14.1,12,7566,61,-0.821911329
Nicholls State University,LA,Public,2020,1898,1092,,4921,4572,2550,65,21.8,,4466,36,-1.209523409
Louisiana Tech University,LA,Public,2397,2144,1525,22,6720,3957,2325,66,20,13,4546,45,-0.046687169
Louisiana State University at Baton Rouge,LA,Public,5996,4993,3079,29,16269,5925,2980,83,15.9,11,6741,37,0.287886034
University of New Orleans,LA,Public,2406,2139,1501,,8158,5154,3116,75,17.9,11,5260,19,-0.302028257
Loyola University,LA,Private,1891,1698,719,24,2740,11100,5870,77,11.7,14,9456,53,0.889938457
McNeese State University,LA,Public,2066,2031,1525,,6020,3450,2310,69,21.1,12,3976,34,-1.209523409
Northeast Louisiana University,LA,Public,2963,2814,1840,,8718,3804,1980,57,20.6,17,4092,21,-0.821911329
Northwestern State University of Louisiana,LA,Public,2671,2671,1330,,5742,4040,2216,67,29.5,11,4587,33,-0.821911329
Southeastern Louisiana University,LA,Public,3247,3247,2297,,9724,3854,2230,61,24.3,13,3666,29,-1.209523409
Southern University at New Orleans,LA,Public,900,900,490,10,2911,3009,,62,19.6,,4355,35,-1.984747569
University of Southwestern Louisiana,LA,Public,4299,4250,2664,,11767,4898,2082,63,22.7,9,4099,30,-1.209523409
Xavier University of Louisiana,LA,Private,2097,1915,695,34,2793,6900,4200,67,14.4,20,8323,49,-0.532652778
Southern University and A & M College,LA,Public,2431,2416,1711,37,7534,3950,2982,50,15.9,,5244,33,-1.984747569
Amherst College,MA,Private,4302,992,418,83,1593,19760,5300,93,8.4,63,21424,100,1.998554574
Merrimack College,MA,Private,1981,1541,514,18,1927,12500,6200,73,16.8,22,8707,80,0.259123423
Boston University,MA,Private,20192,13007,3810,45,14971,18420,6810,80,11.9,16,16836,72,1.488348919
Elms College,MA,Private,245,208,125,23,544,11800,4765,71,11.3,21,8952,86,-0.631006306
College of the Holy Cross,MA,Private,2994,1691,659,70,2675,18000,6300,92,11.3,55,12138,95,1.877541111
Curry College,MA,Private,1224,936,283,5,891,13600,5450,39,8.7,17,11992,58,-1.278373381
Eastern Nazarene College,MA,Private,516,409,200,17,1238,8770,3500,58,17.3,17,6430,70,0.097281654
Emerson College,MA,Private,1849,1228,492,19,2025,15200,7782,,18,,10602,62,0.420965191
Gordon College,MA,Private,674,565,282,25,1151,12200,4070,73,14.2,32,9226,66,0.194386715
Lesley College,MA,Private,244,198,82,12,1134,11700,5300,71,27.8,18,8694,58,-0.987058197
University of Massachusetts at Lowell,MA,Public,3986,3026,1093,8,5740,9838,4164,81,16.1,,7607,53,-0.137388911
Massachusetts Institute of Technology,MA,Private,6411,2140,1078,96,4481,20100,5975,99,10.1,35,33541,94,3.392015334
Bridgewater State College,MA,Public,4915,3340,1064,4,5356,5542,3991,73,17.1,,4666,51,-0.363967387
Fitchburg State College,MA,Public,2857,2090,577,5,2879,5542,4030,,14.7,26,4861,57,-0.622914218
North Adams State College,MA,Public,1563,1005,240,1,1380,5542,4330,65,14.2,17,6562,57,-0.574361687
Salem State College,MA,Public,3973,3168,1334,,5625,5542,3514,55,21,15,4386,45,-1.343110089
Westfield State College,MA,Public,3100,2150,825,3,3234,5542,3788,75,15.7,20,4222,65,-0.71192719
Worcester State College,MA,Public,2197,1515,543,4,3089,6797,3900,60,21,14,4469,40,-1.100347436
Mount Holyoke College,MA,Private,1800,1314,526,47,1891,19300,5700,79,9,51,18359,84,1.560773633
Northeastern University,MA,Private,11901,8492,2517,16,11160,13380,7425,73,12.9,17,9563,46,0.291932078
Pine Manor College,MA,Private,354,323,125,,372,15190,6480,46,8.9,26,14795,67,-1.236260389
Regis College,MA,Private,427,385,143,18,581,12700,5800,81,10.3,37,11758,84,-0.703835102
Simmons College,MA,Private,1003,782,295,23,1144,16160,6950,74,8.9,33,14086,79,0.251067553
University of Massachusetts at Dartmouth,MA,Public,3347,2597,1006,10,4664,6919,4500,74,15,20,7462,56,-0.509624979
Springfield College,MA,Private,1888,1347,519,,2160,9438,4300,55,12.8,,,76,-0.550085422
Stonehill College,MA,Private,3646,2300,585,25,2022,12170,6172,79,13,30,7495,97,0.340044307
Suffolk University,MA,Private,1247,980,356,11,2207,10584,,95,13.3,15,9336,60,-0.92232149
University of Massachusetts at Boston,MA,Public,2237,1495,800,10,6034,8568,,86,14.5,10,10132,41,-0.590545864
Wellesley College,MA,Private,2895,1249,579,80,2195,18345,5995,94,10.6,51,21409,91,2.120303764
Western New England College,MA,Private,1650,1471,409,7,1803,8994,5500,74,15.4,15,8409,59,-1.059886993
Wheaton College,MA,Private,1738,1373,417,21,1335,18460,5970,92,13.2,41,22704,71,0.817513744
Wheelock College,MA,Private,399,335,161,,736,13472,5528,74,9.6,40,12113,74,-0.930413578
Worcester Polytechnic Institute,MA,Private,2768,2314,682,49,2802,15884,5370,92,15.2,34,10774,82,2.07826321
Hampshire College,MA,Private,1342,998,309,26,1079,20655,5475,79,11.4,24,14276,62,1.157345239
Simon's Rock College of Bard,MA,Private,300,171,132,,303,16900,5620,76,8.2,21,13311,84,1.642870546
Wentworth Institute of Technology,MA,Private,1480,1257,452,6,2961,9850,6050,10,15.4,8,17858,64,-0.954689844
Capitol College,MD,Private,100,90,35,10,282,8400,2812,10,12.1,24,7976,52,-0.71192719
Bowie State University,MD,Public,1643,882,407,,2179,4869,4075,57,22,5,7848,17,-1.836727484
College of Notre Dame of Maryland,MD,Private,457,356,177,35,667,11180,5620,64,11.5,32,7477,75,0.016360769
Frostburg State University,MD,Public,2916,2167,911,,4147,5428,4390,78,17.8,12,5491,54,-0.533901245
Goucher College,MD,Private,1151,813,248,40,850,15588,6174,78,9.2,34,16623,77,1.157345239
Hood College,MD,Private,699,565,176,36,710,13960,6040,82,14.4,34,12434,72,0.469553941
Johns Hopkins University,MD,Private,8474,3446,911,75,3566,18800,6740,96,3.3,38,56233,90,2.838111358
Loyola College,MD,Private,4076,3137,738,25,3010,12990,6300,86,14.7,27,9448,80,0.825569613
Morgan State University,MD,Public,5892,3034,1358,20,4517,4136,4640,80,18.2,36,6867,29,-0.784755986
Mount Saint Mary's College,MD,Private,1321,1159,328,15,1243,12850,6200,77,12.8,36,8536,80,0.016360769
Salisbury State University,MD,Public,4216,2290,736,20,4296,5130,4690,73,17.9,18,5125,56,0.288290117
St. Mary's College of Maryland,MD,Public,1340,695,285,42,1315,6800,4730,84,11.6,23,10357,63,1.82898858
Towson State University,MD,Public,6151,3837,1215,,9247,5166,4480,76,17.6,24,5401,60,0.121557919
United States Naval Academy,MD,Public,11522,1463,1181,50,4125,,,54,6.8,,40020,94,1.642870546
University of Maryland at College Park,MD,Public,14292,10315,3409,22,19340,8723,5146,89,18.1,12,9021,63,0.94695094
University of Maryland at Baltimore County,MD,Public,4269,2594,985,27,6476,8594,4408,82,18.4,6,7618,55,0.635845837
University of Maryland Eastern Shore,MD,Public,1600,1016,508,,2067,7014,3580,56,17.8,,5191,35,-1.852911661
Villa Julie College,MD,Private,823,347,237,,1055,7400,,39,10.2,33,5287,72,-0.388243653
Washington College,MD,Private,1209,942,214,31,822,15276,5318,79,11.2,37,10830,65,0.801293348
Western Maryland College,MD,Private,1205,984,278,31,1071,14510,5340,84,12.5,39,10026,60,0.348136395
University of Maine at Presque Isle,ME,Public,461,381,235,10,974,6600,3630,67,15.2,11,6408,35,-1.189360408
Bates College,ME,Private,3461,1541,577,53,1599,25180,,79,9.8,40,16444,93,2.120303764
Bowdoin College,ME,Private,3356,1019,418,76,1490,19030,5885,93,11.2,52,20447,96,2.03938288
Colby College,ME,Private,2848,1319,456,58,1720,18930,5590,83,10.2,41,15954,91,1.569269804
University of Maine at Fort Kent,ME,Public,225,168,104,5,467,4800,3395,65,15,,5632,38,-1.375478443
Husson College,ME,Private,723,652,361,10,951,7800,4000,36,22,4,4923,84,-1.213636674
University of New England,ME,Private,1209,750,265,19,820,11450,5045,72,11.4,13,9718,64,-0.550085422
Saint Joseph's College,ME,Private,833,682,217,12,716,9985,5180,53,27.2,8,4322,85,-0.71192719
Thomas College,ME,Private,356,312,139,18,388,8850,4450,29,21.8,,5001,75,-1.116531612
University of Maine at Orono,ME,Public,5260,4589,1741,23,7366,7975,4385,93,14.5,,7379,56,0.17011045
Unity College,ME,Private,456,409,185,,458,9550,4750,45,11.4,,6145,44,-0.024099673
Adrian College,MI,Private,1428,1097,336,22,1036,11250,3750,53,12.9,30,8735,54,-0.046687169
Alma College,MI,Private,1267,1080,385,44,1306,12572,4552,79,15.3,32,9305,68,1.50376115
Andrews University,MI,Private,1130,704,322,14,1586,9996,3090,62,11.5,18,10908,46,-0.821911329
Calvin College,MI,Private,1784,1512,913,29,3401,10230,3710,75,14.8,41,7786,81,0.97895143
Concordia College,MI,Private,180,171,74,19,562,10430,2960,55,11.6,6,,84,-0.342084617
Eastern Michigan University,MI,Public,6693,5423,2242,,13142,6360,4031,74,20.6,9,5955,49,-0.508376512
Grand Valley State University,MI,Public,5165,3887,1561,20,8234,6108,3800,64,20.6,9,5063,57,0.340924911
Hillsdale College,MI,Private,920,745,347,35,1133,11090,4700,80,12,31,12639,79,0.777053302
Kalamazoo College,MI,Private,1224,1101,338,55,1218,16179,5094,75,12.4,36,13207,74,1.888503215
Lawrence Technological University,MI,Private,867,695,312,28,2176,6759,2250,40,15.8,,4727,45,-0.046687169
Michigan State University,MI,Public,18114,15096,6180,23,26640,10658,3734,93,14,9,10520,71,0.227195371
Michigan Technological University,MI,Public,2618,2288,1032,42,5524,8127,3978,82,17,25,7473,65,1.415520123
Lake Superior State University,MI,Public,1406,1169,522,10,2432,6456,4186,47,19.9,,4310,51,-0.821911329
Oakland University,MI,Public,3041,2581,1173,16,6441,9114,4030,88,19.7,13,6637,53,0.340924911
Saginaw Valley State University,MI,Public,1549,1349,687,,3598,5673,3650,77,18.2,10,5391,40,-0.821911329
Siena Heights College,MI,Private,464,419,183,10,686,9240,3880,29,7.2,17,9431,47,-0.434299249
Spring Arbor College,MI,Private,372,362,181,15,1501,8600,3550,48,15.4,9,10938,49,-0.434299249
University of Detroit Mercy,MI,Private,927,731,415,24,2149,11130,3996,72,13.5,14,10891,51,-0.342488699
University of Michigan at Dearborn,MI,Public,1796,1303,882,37,3493,10116,,80,18,9,6768,63,0.72853699
Wayne State University,MI,Public,4219,3098,1543,,9778,7162,3271,85,10.9,,10538,41,-0.434299249
Western Michigan University,MI,Public,9167,7191,2738,24,15739,6940,4100,80,24.7,11,5983,55,0.340924911
Center for Creative Studies,MI,Private,601,396,203,1,525,11230,6643,8,6.8,4,13025,47,-0.434299249
Northwood University,MI,Private,1093,998,285,5,1650,9450,4385,33,91.8,,5568,35,-1.009681913
University of Michigan at Ann Arbor,MI,Public,19152,12940,4893,66,22045,15732,4659,90,11.5,26,14847,87,1.791398153
Augsburg College,MN,Private,662,513,257,12,2074,11902,4372,65,12.8,31,7836,58,0.268059895
College of Saint Benedict,MN,Private,938,864,511,29,1715,12247,4221,70,13.1,26,8847,72,0.340484609
College of Saint Catherine,MN,Private,511,411,186,23,1692,12224,4440,63,11.5,32,7315,77,-0.09203804
College of St. Scholastica,MN,Private,672,596,278,29,1350,11844,3696,54,11.6,33,8996,72,0.016801071
University of St. Thomas,MN,Private,2057,1807,828,26,4106,11712,4037,80,13.8,13,8546,89,0.275747901
Concordia College-Moorhead,MN,Private,2007,1808,829,30,2917,10110,3165,,13.4,46,8129,69,0.129686227
Gustavus Adolphus College,MN,Private,1709,1385,634,36,2281,14125,3600,79,12.5,58,9907,80,1.11247089
Hamline University,MN,Private,1006,825,328,34,1362,13252,4194,89,13,33,10296,65,1.132701111
Moorhead State University,MN,Public,2442,2164,1189,12,5983,4426,2664,76,18.1,19,4795,60,-0.046687169
Southwest State University,MN,Public,1047,938,511,13,2091,4285,2750,58,16.5,31,6591,51,-0.821911329
Saint John's University,MN,Private,933,800,444,18,1691,12247,4081,76,12,38,9853,70,0.574751091
Saint Mary's College of Minnesota,MN,Private,876,802,367,14,1263,10800,3600,68,18.8,19,5081,78,-0.434299249
Saint Olaf College,MN,Private,2248,1673,745,38,2888,14350,3750,82,10,31,12502,83,1.286046708
University of Minnesota at Duluth,MN,Public,4192,3126,1656,15,5887,8828,3474,79,19,11,6393,53,-0.046687169
University of Minnesota at Morris,MN,Public,1458,874,588,56,1846,9843,3180,74,14.6,16,6716,51,1.69065113
Winona State University,MN,Public,3325,2047,1301,20,5800,4200,2700,53,20.2,18,5318,58,-0.096084084
University of Minnesota Twin Cities,MN,Public,11054,6397,3524,26,16502,8949,3744,88,12.2,37,16122,45,0.510418466
Avila College,MO,Private,373,298,86,14,651,8950,3800,57,10.6,20,6639,54,-0.298386295
Central Missouri State University,MO,Public,4681,4101,1436,10,8094,4620,3288,69,19.7,4,5501,50,-0.434299249
Columbia College,MO,Private,314,158,132,10,690,8294,3700,87,15.3,2,5015,37,-0.821911329
Culver-Stockton College,MO,Private,1576,1110,274,24,992,8000,3700,51,14.1,28,5807,51,-0.046687169
Drury College,MO,Private,700,650,314,33,1065,8730,3523,82,13.2,35,9303,67,1.11614907
Kansas City Art Institute,MO,Private,639,427,182,,527,6572,,,9.4,8,10396,58,-0.027705415
Lindenwood College,MO,Private,810,484,356,6,2155,9200,4800,65,24.1,9,3480,100,-0.419767622
Maryville University,MO,Private,549,397,169,26,1343,9250,4550,52,13.1,13,5925,61,0.34412657
Missouri Valley College,MO,Private,1310,983,316,5,1057,8550,5050,35,17.4,16,4333,27,-1.478214877
Missouri Western State College,MO,Public,1887,1870,848,8,3615,3900,2611,54,19,,4602,40,-1.209523409
Northeast Missouri State University,MO,Public,6040,4577,1620,36,5640,4856,3416,69,15.7,13,6601,76,1.50376115
College of the Ozarks,MO,Private,3258,338,326,9,1277,,1900,53,14.3,21,9192,87,-0.434299249
Southwest Baptist University,MO,Private,1093,1093,642,12,1770,7070,2500,52,15.9,13,4718,71,0.340924911
Southwest Missouri State University,MO,Public,6118,5254,3204,15,13131,4740,2590,70,19.9,11,4632,56,-0.046687169
Stephens College,MO,Private,450,405,194,17,614,13900,5200,46,10.9,17,9995,59,-0.492192335
University of Missouri at Columbia,MO,Public,6574,4637,2940,32,14782,9057,3485,87,12.7,15,10145,58,0.954675165
University of Missouri at Rolla,MO,Public,1877,1826,823,49,3926,9057,3600,88,14.4,23,9699,49,1.892549259
University of Missouri at Kansas City,MO,Public,1901,1340,655,33,3416,9501,3685,98,11.6,8,12453,44,0.72853699
Webster University,MO,Private,665,462,226,17,1739,9160,4340,68,20.6,14,6951,48,0.320254388
Westminster College,MO,Private,662,553,184,20,665,10720,4050,66,12.5,20,7925,62,0.493830206
William Jewell College,MO,Private,663,547,315,32,1279,10060,2970,74,11.2,19,7885,59,0.73659286
William Woods University,MO,Private,469,435,227,17,851,10535,4365,39,12.9,16,7438,52,-0.326304522
Missouri Baptist College,MO,Private,308,,110,5,606,5780,2650,52,17.9,,3493,32,-0.821911329
Alcorn State University,MS,Public,2928,1853,481,,2326,6616,,45,14.1,2,3913,35,-1.597135489
Blue Mountain College,MS,Private,75,75,47,,263,3660,2090,33,11.3,,5478,66,-1.209523409
Millsaps College,MS,Private,905,834,319,32,1073,11320,4402,82,12.7,38,11218,58,1.366967593
Mississippi College,MS,Private,594,385,307,36,1695,5580,2830,77,16.5,18,6170,61,0.340924911
Mississippi University for Women,MS,Public,480,405,380,19,1673,4386,2217,49,15.8,8,5704,63,0.340924911
Mississippi State University,MS,Public,4255,3277,1609,18,10094,9866,3084,77,15.9,20,6223,53,0.340924911
Mississippi Valley State University,MS,Public,2800,1090,580,10,2124,4306,2100,43,18.6,,4955,56,-2.372359648
Rust College,MS,Private,1328,673,282,25,1006,4000,2048,44,19.6,36,5103,49,-2.372359648
University of Southern Mississippi,MS,Public,2850,2044,1046,20,9260,4652,2470,78,18.7,23,5917,45,0.025297242
William Carey College,MS,Private,200,165,121,,1538,5115,2520,36,13.6,12,6986,19,-0.821911329
Carroll College,MT,Private,529,492,261,29,1093,8650,3815,49,14.1,,5862,58,0.097721956
Montana College of Mineral Sci. & Tech.,MT,Public,572,544,320,45,1470,6073,3400,71,16.4,31,6112,74,0.332796603
Montana State University,MT,Public,3500,2836,1779,15,8730,5552,3710,75,17.6,8,6324,37,0.138182398
Rocky Mountain College,MT,Private,560,392,270,11,743,8734,3362,56,11.3,27,6422,68,-0.613573662
University of Montana,MT,Public,3314,2809,1563,,7754,6311,3957,75,21.7,16,5862,30,-0.112268261
Western Montana College,MT,Public,376,256,256,,816,5658,3000,50,16.4,,4489,59,-1.209523409
North Carolina A. & T. State University,NC,Public,4809,3089,1429,12,6162,6806,1780,72,16.7,9,7090,44,-1.156992055
Appalachian State University,NC,Public,7313,4664,1910,20,9940,6806,2540,83,18.3,14,5854,70,0.065757684
University of North Carolina at Asheville,NC,Public,1757,979,394,32,2033,5972,3420,77,13,11,7011,37,0.712316594
Barton College,NC,Private,771,643,229,14,1135,7420,3440,55,13.7,7,5930,67,-1.035610728
Barber Scotia College,NC,Private,933,933,480,6,704,4045,2795,50,13.5,8,4431,34,-2.977711954
Belmont Abbey College,NC,Private,632,494,129,17,709,9000,4850,78,13.2,10,7550,52,-0.631006306
Bennett College,NC,Private,774,542,193,17,650,5600,3095,63,12.1,19,,44,-1.752941802
Campbell University,NC,Private,2087,1339,657,20,3191,7550,2790,77,21.8,34,3739,63,-0.428704095
Catawba College,NC,Private,1083,880,291,13,915,9270,4100,75,13.5,27,8425,55,-0.428704095
Davidson College,NC,Private,2373,956,452,77,1601,17295,5070,95,12,46,17581,94,2.393450577
Duke University,NC,Private,13789,3893,1583,90,6188,18590,5950,95,5,44,27206,97,2.878571801
East Carolina University,NC,Public,9274,6362,2435,14,13171,7248,3240,74,13.2,18,9002,58,-0.988643527
Elon College,NC,Private,3624,2786,858,11,2933,9100,3883,70,18.9,34,6329,63,-0.372059476
Fayetteville State University,NC,Public,1455,1064,452,1,2632,6806,2550,75,15.1,10,6972,24,-1.229820851
Gardner Webb University,NC,Private,1110,930,332,18,1603,8180,4270,65,15.2,12,5664,29,-1.102336847
Greensboro College,NC,Private,608,494,176,10,649,8330,3770,64,13,31,7949,39,-0.363967387
Guilford College,NC,Private,1202,1054,326,18,1410,13404,5160,78,15.6,30,9114,65,0.615211533
High Point University,NC,Private,1412,1149,347,11,2045,7550,4050,55,17.8,13,4947,62,-0.720019279
Lenoir-Rhyne College,NC,Private,979,743,259,25,1188,10100,4000,88,12,20,8539,66,-0.407225407
Mars Hill College,NC,Private,1056,873,385,15,1111,6950,3550,60,11.9,17,6786,69,-0.896392675
Montreat-Anderson College,NC,Private,263,223,103,10,316,8438,3372,42,11.1,4,11989,15,-0.807379702
North Carolina Wesleyan College,NC,Private,812,689,195,7,646,8242,4230,77,12.7,11,10090,52,-0.985405648
Pembroke State University,NC,Public,944,774,440,14,2174,6360,2760,77,15,5,6443,48,-1.213636674
Pfeiffer College,NC,Private,838,651,159,11,654,8640,3700,62,12.2,13,7634,48,-1.108439524
Queens College,NC,Private,516,392,154,32,630,11020,4970,73,14,36,9315,58,0.901672507
Salem College,NC,Private,335,284,132,28,534,10475,6300,68,11.2,46,9599,60,0.501922295
St. Andrews Presbyterian College,NC,Private,624,599,170,,612,10375,4575,79,13.8,,9332,56,-0.428704095
St. Augustine's College,NC,Private,3113,1786,457,24,1614,3850,3200,43,14,,,56,-1.254097116
North Carolina State University at Raleigh,NC,Public,10634,7064,3176,39,16505,8400,6540,92,17.5,21,9670,62,0.833661702
University of North Carolina at Chapel Hill,NC,Public,14596,5985,3331,75,14609,8400,4200,88,8.9,23,15893,83,1.238266124
University of North Carolina at Charlotte,NC,Public,5803,4441,1730,19,10099,7248,3109,79,16.8,7,6227,62,-0.386995186
University of North Carolina at Greensboro,NC,Public,5191,4134,1500,15,7532,8677,3505,75,15.5,17,7392,53,-0.096928469
Western Carolina University,NC,Public,3224,2519,1057,11,5000,6390,2380,67,14.6,9,6554,55,-0.81712434
University of North Carolina at Wilmington,NC,Public,6071,3856,1449,15,6635,7558,3680,82,19.1,15,6005,55,-0.350580788
Wingate College,NC,Private,1239,1017,383,10,1207,7820,3400,69,13.9,8,7264,91,-0.53305686
Winston-Salem State University,NC,Private,1065,801,385,,2069,6272,2762,67,13.5,4,8064,46,-1.569688565
Dickinson State University,ND,Public,434,412,319,10,1376,4486,2146,50,16.5,28,4525,46,-0.434299249
Jamestown College,ND,Private,472,410,262,14,9950,7620,3050,51,17,21,3186,54,-0.046687169
University of Mary,ND,Private,659,601,342,12,1476,6490,2660,26,18,,4460,48,-0.434299249
Mayville State University,ND,Public,233,233,153,5,658,4486,2516,68,15.7,11,6971,51,-0.821911329
University of North Dakota,ND,Public,2777,2249,1652,20,8334,5634,2703,97,15.9,16,9424,49,0.300024167
North Dakota State University,ND,Public,2968,2297,1610,13,7368,5834,2744,79,17,24,6310,42,0.461865935
Chadron State College,NE,Public,1024,1024,547,5,1830,2670,2668,62,25,27,4895,80,-0.434299249
Creighton University,NE,Private,2967,2836,876,30,3450,10628,4372,85,6.5,32,22906,85,1.11614907
Dana College,NE,Private,504,482,185,10,550,9130,3322,46,12.6,25,8686,54,-0.046687169
Doane College,NE,Private,793,709,244,20,1022,9570,3000,67,15.1,42,6852,60,0.340924911
Hastings College,NE,Private,817,708,262,22,935,9376,3272,57,13,17,7335,52,0.340924911
University of Nebraska at Kearney,NE,Public,2837,2697,1417,,5764,2550,2630,59,19,,4393,55,-0.434299249
Peru State College,NE,Public,701,501,458,10,959,2580,2624,48,20.1,24,4870,44,-0.821911329
University of Nebraska at Lincoln,NE,Public,6277,6003,3526,33,16454,5595,3145,86,15.1,48,6813,53,-0.055623642
Wayne State College,NE,Public,1373,1373,724,6,2754,2700,2660,60,20.3,29,4550,52,-0.821911329
Colby-Sawyer College,NH,Private,910,776,208,,618,14090,5395,,12.9,30,10802,72,-0.754781127
Dartmouth College,NH,Private,8587,2273,1087,87,3918,19545,6070,95,4.7,49,29619,98,2.840499635
Franklin Pierce College,NH,Private,5187,4471,446,3,1818,13320,4630,50,17.6,16,6418,51,-1.140807878
New Hampshire College,NH,Private,1498,1275,292,,1557,10608,4740,34,38.4,,5523,76,-1.229820851
Notre Dame College,NH,Private,379,324,107,15,500,9990,4900,44,12.1,26,4948,33,-1.237912939
Saint Anselm College,NH,Private,2095,1553,514,15,1873,12950,5400,70,14.5,29,6719,97,0.202478803
University of New Hampshire,NH,Public,9750,7640,2529,24,10358,11180,3862,89,17.5,16,7855,75,0.356228484
Keene State College,NH,Public,3121,2446,822,5,3480,7870,4157,73,16.1,13,6195,61,-0.655282571
Daniel Webster College,NH,Private,585,508,153,12,460,12292,4934,61,22.2,10,8643,72,-0.323506945
Thomas More Coll. of Liberal Arts,NH,Private,35,35,22,,59,7200,5200,80,11.8,81,8100,60,0.954675165
Caldwell College,NJ,Private,1011,604,213,17,693,8900,4600,87,13.9,25,7922,55,-0.396335741
Centenary College,NJ,Private,369,312,90,12,396,11400,5400,41,9.5,20,9583,24,-0.59658132
College of Saint Elizabeth,NJ,Private,444,359,122,34,493,10900,5250,68,11.4,23,9447,78,-0.145481
Drew University,NJ,Private,2153,1580,321,56,1192,18432,5616,93,10.2,28,14907,83,1.780436049
Georgian Court College,NJ,Private,348,281,127,12,1095,9150,3950,56,12.2,27,7348,76,-0.428704095
Rowan College of New Jersey,NJ,Public,3820,1431,695,21,5303,4356,4830,76,22.1,6,7252,51,0.162018361
Jersey City State College,NJ,Public,2957,1423,691,10,3817,3946,4800,63,14.9,10,8367,26,-1.035610728
Monmouth College,NJ,Private,2707,1881,478,14,1893,12480,5290,70,14.2,15,9492,54,-0.274954415
Montclair State University,NJ,Public,5220,2128,865,19,6411,3648,4834,82,21.5,9,6717,58,-0.40442783
New Jersey Institute of Technology,NJ,Public,1879,1216,483,27,3311,8832,5376,92,13.5,19,12529,72,0.79320126
Kean College of New Jersey,NJ,Public,3344,2322,1105,6,6804,2875,3840,76,17.2,,6001,40,-0.71192719
William Paterson College of New Jersey,NJ,Public,5485,2662,1108,9,5938,3135,4170,77,23.5,13,6391,38,-0.444888272
Princeton University,NJ,Private,13218,2042,1153,90,4540,19900,5910,91,8.4,54,28320,99,3.131814819
Rider University,NJ,Private,3586,2424,730,16,2748,13250,5420,84,12.3,23,11299,70,-0.226401884
Rutgers State University at Newark,NJ,Public,5785,2690,499,26,4005,7410,4748,90,17.4,16,11878,58,0.162018361
Seton Hall University,NJ,Private,4576,3565,1000,16,4384,12000,6484,81,14.4,15,10080,64,-0.242586061
Saint Peter's College,NJ,Private,1606,1413,530,23,1921,9408,5520,78,12.1,22,7669,53,-1.302649647
Stevens Institute of Technology,NJ,Private,1768,1249,380,51,1263,16900,5680,89,19,33,12837,79,1.659054723
Trenton State College,NJ,Public,5042,2312,944,55,5167,5391,5411,81,14.4,6,8504,81,1.157345239
Upsala College,NJ,Private,1540,1363,446,,950,12500,5260,72,14,,,43,-1.278373381
Rutgers State University at Camden,NJ,Public,3366,1752,232,27,2585,7411,4748,90,18.6,12,10134,57,0.53425443
Rutgers at New Brunswick,NJ,Public,48094,26330,4520,36,21401,7410,4748,90,19.5,19,10474,77,1.124976886
Fairleigh Dickinson University,NJ,Private,3148,1616,504,9,3553,11010,5400,77,16.7,8,9637,60,-0.347783211
Ramapo College of New Jersey,NJ,Public,2088,957,362,6,2745,4449,4860,74,17.8,8,7333,47,0.016360769
